Model Family,Model Nickname,HuggingFace Path,HuggingFace Revision,Tokens,Parameters
LLM360,AMBER_6.7B_0B,LLM360/Amber,ckpt_000,0,6700000000
LLM360,AMBER_6.7B_3.5B,LLM360/Amber,ckpt_001,3500000000,6700000000
LLM360,AMBER_6.7B_7B,LLM360/Amber,ckpt_002,7000000000,6700000000
LLM360,AMBER_6.7B_10.5B,LLM360/Amber,ckpt_003,10500000000,6700000000
LLM360,AMBER_6.7B_17.5B,LLM360/Amber,ckpt_005,17500000000,6700000000
LLM360,AMBER_6.7B_31.5B,LLM360/Amber,ckpt_009,31500000000,6700000000
LLM360,AMBER_6.7B_49B,LLM360/Amber,ckpt_014,49000000000,6700000000
LLM360,AMBER_6.7B_87.5B,LLM360/Amber,ckpt_025,87500000000,6700000000
LLM360,AMBER_6.7B_147B,LLM360/Amber,ckpt_042,147000000000,6700000000
LLM360,AMBER_6.7B_252B,LLM360/Amber,ckpt_072,252000000000,6700000000
LLM360,AMBER_6.7B_430B,LLM360/Amber,ckpt_123,430500000000,6700000000
LLM360,AMBER_6.7B_738B,LLM360/Amber,ckpt_211,738500000000,6700000000
LLM360,AMBER_6.7B_1.26T,LLM360/Amber,ckpt_358,1253000000000,6700000000
Cerebras,Cerebras_111M_2B,cerebras/Cerebras-GPT-111M,,2200000000,111000000
Cerebras,Cerebras_256M_5B,cerebras/Cerebras-GPT-256M,,5120000000,256000000
Cerebras,Cerebras_590M_11B,cerebras/Cerebras-GPT-590M,,11800000000,590000000
Cerebras,Cerebras_1.3B_26B,cerebras/Cerebras-GPT-1.3B,,26000000000,1300000000
Cerebras,Cerebras_2.7B_54B,cerebras/Cerebras-GPT-2.7B,,54000000000,2700000000
Cerebras,Cerebras_6.7B_134B,cerebras/Cerebras-GPT-6.7B,,134000000000,6700000000
Cerebras,Cerebras_13B_260B,cerebras/Cerebras-GPT-13B,,260000000000,13000000000
INCITE,INCITE_3B_800B,togethercomputer/RedPajama-INCITE-Base-3B-v1,,800000000000,2700000000
INCITE,INCITE_7B_240B,togethercomputer/RedPajama-INCITE-7B-Base,240b_tokens,240000000000,6700000000
INCITE,INCITE_7B_280B,togethercomputer/RedPajama-INCITE-7B-Base,280b_tokens,280000000000,6700000000
INCITE,INCITE_7B_400B,togethercomputer/RedPajama-INCITE-7B-Base,400b_tokens,400000000000,6700000000
INCITE,INCITE_7B_500B,togethercomputer/RedPajama-INCITE-7B-Base,500b_tokens,500000000000,6700000000
INCITE,INCITE_7B_700B,togethercomputer/RedPajama-INCITE-7B-Base,700b_tokens,700000000000,6700000000
INCITE,INCITE_7B_1T,togethercomputer/RedPajama-INCITE-7B-Base,1t_tokens,1000000000000,6700000000
Llama 2,Llama2_7B_1.92T,meta-llama/Llama-2-7b-hf,,1920000000000,7000000000
Llama 2,Llama2_13B_1.92T,meta-llama/Llama-2-13b-hf,,1920000000000,13000000000
Llama 2,Llama2_70B_1.92T,meta-llama/Llama-2-70b-hf,,1920000000000,69000000000
OLMo,OLMo_1B_84B,allenai/OLMo-1B,step20000-tokens84B,84000000000,1000000000
OLMo,OLMo_1B_126B,allenai/OLMo-1B,step30000-tokens126B,126000000000,1000000000
OLMo,OLMo_1B_210B,allenai/OLMo-1B,step50000-tokens210B,210000000000,1000000000
OLMo,OLMo_1B_419B,allenai/OLMo-1B,step100000-tokens419B,419000000000,1000000000
